dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,83,2691,"apply online send papers provide use utilize employ apply internet establish","apply online confirm establish country process results evaluation send papers internet",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2668,83,2691,"send online protocol apply online send protocol forward papers via internet gdfjvsdhj sdgffsdh sdgfhsd","apply online confirm establish country process results evaluation send papers internet",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2668,83,2706,"send online protocol apply online send protocol forward papers via internet gdfjvsdhj sdgffsdh sdgfhsd","documents received mail papers destination received receive accept arrive come",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,83,2690,"send documents by post mail papers office send accept reward forward","send documents by post email document letter forward credentials mail office money slow",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,83,2695,"send documents by post mail papers office send accept reward forward","send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,83,2702,"send documents by post mail papers office send accept reward forward","certificate received email send certificate documents acquired confirmed verify establish proof",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,83,2706,"send documents by post mail papers office send accept reward forward","documents received mail papers destination received receive accept arrive come",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2670,83,2690,"documents received send online protocol documents papers come get djfsdhgfs sdgfshgd sdgfshdg","send documents by post email document letter forward credentials mail office money slow",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2670,83,2706,"documents received send online protocol documents papers come get djfsdhgfs sdgfshgd sdgfshdg","documents received mail papers destination received receive accept arrive come",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,83,2690,"check documents send documents post check evaluate verify control letter rejection","send documents by post email document letter forward credentials mail office money slow",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,83,2695,"check documents send documents post check evaluate verify control letter rejection","send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,83,2706,"check documents send documents post check evaluate verify control letter rejection","documents received mail papers destination received receive accept arrive come",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,83,2707,"check documents send documents post check evaluate verify control letter rejection","check documents documents information application examine papers data pay aptitude test",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2688,"evaluate validate confirm address examine papers count send documents check received","sufficient cp in mathematics sufficient take oral exam evaluate sdfsdfsd cp mathematics",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2691,"evaluate validate confirm address examine papers count send documents check received","apply online confirm establish country process results evaluation send papers internet",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2702,"evaluate validate confirm address examine papers count send documents check received","certificate received email send certificate documents acquired confirmed verify establish proof",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2703,"evaluate validate confirm address examine papers count send documents check received","check certificate certification recommendation validation checking documents licence driving confirm",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2704,"evaluate validate confirm address examine papers count send documents check received","less than cp in mathematics math exam school rating points subject pay aptitude test",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,83,2708,"evaluate validate confirm address examine papers count send documents check received","evaluate result marks validate examine check estimate sufficient take oral exam",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2673,83,2705,"invite to an aptitude test invitation test failure testing class teacher paying working","take oral exam revoke rejection bad reexamination passing cp result fsdgfstd sdgfjgsdf sdgfhjsgdfs",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2675,83,2705,"take aptitude test confirm establish country process examinations payments abilities","take oral exam revoke rejection bad reexamination passing cp result fsdgfstd sdgfjgsdf sdgfhjsgdfs",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2676,83,2708,"rank students according to gpa and the test results confirm establish country process rankings results list position place","evaluate result marks validate examine check estimate sufficient take oral exam",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2679,83,2705,"pay for aptitude test test invitation application price money procedure pay aptitude","take oral exam revoke rejection bad reexamination passing cp result fsdgfstd sdgfjgsdf sdgfhjsgdfs",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,83,2694,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,83,2696,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","accepted letter applicant invite ffdfh yrryry yyryryr send of rejection acceptance rejected accepted",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,83,2697,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","rejected unacceptable reject deny rejected discard send letter of rejection acceptance accepted",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,83,2709,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","send letter of rejection letter rejected accepted rejection reject refusal send",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,83,2690,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","send documents by post email document letter forward credentials mail office money slow",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,83,2694,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,83,2697,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","rejected unacceptable reject deny rejected discard send letter of rejection acceptance accepted",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,83,2706,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","documents received mail papers destination received receive accept arrive come",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,83,2709,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","send letter of rejection letter rejected accepted rejection reject refusal send",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,84,2716,"apply online send papers provide use utilize employ apply internet establish","add certificate of bachelor degree revoke rejection bad mother tongue nationality dsgdfhfd fdhdrhfd dfgdfhdf",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,84,2718,"apply online send papers provide use utilize employ apply internet establish","german language translate german germanic germane complete application",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,84,2722,"apply online send papers provide use utilize employ apply internet establish","add certificate of german language application certificate form provide papers foreign pay aptitude test",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,84,2730,"apply online send papers provide use utilize employ apply internet establish","complete application finish success fulfill finished ended evaluation applicate learn",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2667,84,2732,"apply online send papers provide use utilize employ apply internet establish","fill out application form mother tongue nationality process papers write insert data complete documentation personal",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2668,84,2720,"send online protocol apply online send protocol forward papers via internet gdfjvsdhj sdgffsdh sdgfhsd","send application request petition requisition dsafsdfsd dfsdfd sdfsdfsss fill out application form send",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,84,2720,"send documents by post mail papers office send accept reward forward","send application request petition requisition dsafsdfsd dfsdfd sdfsdfsss fill out application form send",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,84,2723,"send documents by post mail papers office send accept reward forward","receive acceptance send acceptance rejection receive immatriculate dsfsdfsdm dfsdfsdf sdfsdfsd",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,84,2729,"send documents by post mail papers office send accept reward forward","send acceptance send email accept forward acceptance article write enclose post",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2669,84,2731,"send documents by post mail papers office send accept reward forward","send rejection denial document process send forward dispatch deny reject",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2670,84,2719,"documents received send online protocol documents papers come get djfsdhgfs sdgfshgd sdgfshdg","receive application job interview apply receive coming documents working application sending",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,84,2710,"check documents send documents post check evaluate verify control letter rejection","complete and in time timely completion deadline complete fillin implement receive application check in time and hand over to examining board if bachelor is sufficient",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,84,2715,"check documents send documents post check evaluate verify control letter rejection","check application complete send receive check application complete valid confirm find control letter rejection",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,84,2717,"check documents send documents post check evaluate verify control letter rejection","check application in time hours minutes seconds examine fulfill papers send application receive complete",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,84,2728,"check documents send documents post check evaluate verify control letter rejection","rank with other applicants document rank applicants rejection sdfsdfsd sdfsdfs others",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2671,84,2731,"check documents send documents post check evaluate verify control letter rejection","send rejection denial document process send forward dispatch deny reject",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,84,2711,"evaluate validate confirm address examine papers count send documents check received","hand application over to examining board executive board verification provide papers authorities check application complete bachelor",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,84,2712,"evaluate validate confirm address examine papers count send documents check received","check if bachelor is sufficient degree establish confirm certify inquire necessary student enough",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,84,2713,"evaluate validate confirm address examine papers count send documents check received","set additional requirements hand application examining board more criteria propose vfsdgfgsd dgfsdfsd sdfgsd",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,84,2714,"evaluate validate confirm address examine papers count send documents check received","check if bachelors grade within top % eligible screening interview find examine check send letter rejection",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2672,84,2715,"evaluate validate confirm address examine papers count send documents check received","check application complete send receive check application complete valid confirm find control letter rejection",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2673,84,2725,"invite to an aptitude test invitation test failure testing class teacher paying working","invite for talk interview invitation background check speak conversion room talking walking eating",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2675,84,2726,"take aptitude test confirm establish country process examinations payments abilities","talk to applicant conversation entrance evaluation sdgsgs sgfhh fhgfhgf check if bachelors grade invite for talk",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2675,84,2727,"take aptitude test confirm establish country process examinations payments abilities","document evaluation applicant test wewerwe werwerw werwerwe invite for talk document rank with others",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2676,84,2728,"rank students according to gpa and the test results confirm establish country process rankings results list position place","rank with other applicants document rank applicants rejection sdfsdfsd sdfsdfs others",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,84,2723,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","receive acceptance send acceptance rejection receive immatriculate dsfsdfsdm dfsdfsdf sdfsdfsd",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,84,2724,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","immatriculate processed registrar enroll immatriculate send rejection acceptance receive",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2683,84,2729,"acceptance revoke rejection bad result acceptance procedure dsfsdg dffdhd dfhdfhd","send acceptance send email accept forward acceptance article write enclose post",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,84,2721,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","receive rejection reject accept fail email coming document working doing testing",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,84,2723,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","receive acceptance send acceptance rejection receive immatriculate dsfsdfsdm dfsdfsdf sdfsdfsd",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,84,2724,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","immatriculate processed registrar enroll immatriculate send rejection acceptance receive",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,84,2729,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","send acceptance send email accept forward acceptance article write enclose post",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,82,2684,84,2731,"send letter of rejection repulse paper document dsfsdfsd sdfsdfsd sdfsdf rank students acceptance rejection","send rejection denial document process send forward dispatch deny reject",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2688,89,2895,"sufficient cp in mathematics sufficient take oral exam evaluate sdfsdfsd cp mathematics","bridging courses > cp progress grade rhumb fdsfsd sdfsdfsd dsfsdfsd documents received bridging evaluate",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2690,89,2884,"send documents by post email document letter forward credentials mail office money slow","documents received exhibit paper taken fsdfsdfsd dsfsdfsd sdfsdfs apply online send documents post received",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2690,89,2885,"send documents by post email document letter forward credentials mail office money slow","send documents by post documentation postal mail docs send forward dispatch apply online documents received",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2690,89,2898,"send documents by post email document letter forward credentials mail office money slow","forward documents move ahead papers forward send dispatch provide",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2691,89,2886,"apply online confirm establish country process results evaluation send papers internet","apply online revoke rejection bad procedure application form networked wired accessible",false,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2694,89,2883,"send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept","rejected denial negation negative rejected reject accept deny disqualify off",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2694,89,2888,"send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept","send letter of acceptance letter send accept forward note acceptance written neatly legible",true,true
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2694,89,2889,"send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept","send letter of rejection send rejection acceptance rejected dsfsdfsd sdfsdfsd fssdf accept letter reject",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2694,89,2893,"send letter of acceptance send letter rejection acceptance sdfsdf sdfsdfsd sdfsdfsdf accept","rejected revoke rejection bad confirm result procedure dhksjhgjks jgsjdhgsf gdfjgsduf",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2695,89,2888,"send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability","send letter of acceptance letter send accept forward note acceptance written neatly legible",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2695,89,2893,"send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability","rejected revoke rejection bad confirm result procedure dhksjhgjks jgsjdhgsf gdfjgsduf",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2695,89,2898,"send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability","forward documents move ahead papers forward send dispatch provide",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2695,89,2899,"send letter of provisional acceptance process result degree forward papers preliminary submit requirements approval written document applicability","documents received passing merit evaluation process papers arrive come submitted delivered",true,false
UA_Intersection_GoldAll_Clean_1_Keywords_Default_NoStem,83,2696,89,2883,"accepted letter applicant invite ffdfh yrryry yyryryr send of rejection acceptance rejected accepted","rejected denial negation negative rejected reject accept deny disqualify off",true,true
