dataset,proc_id_1,node_id_1,proc_id_2,node_id_2,node_label_1,node_label_2,paired,gold_paired
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2667,83,2691,"apply online send paper provid us util emploi appli internet establish","apply online confirm establish countri process result evalu send paper internet",true,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2668,83,2691,"send online protocol appli onlin send protocol forward paper via internet gdfjvsdhj sdgffsdh sdgfhsd","apply online confirm establish countri process result evalu send paper internet",true,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2669,83,2690,"send documents by post mail paper offic send accept reward mail paper forward","send documents by post email document letter forward credenti mail offic monei slow",true,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2669,83,2695,"send documents by post mail paper offic send accept reward mail paper forward","send letter of provisional acceptance process result degre forward paper preliminari submit requir approv written document applic",true,false
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2670,83,2706,"documents received send onlin protocol document paper come get djfsdhgf sdgfshgd sdgfshdg","documents received mail paper destin receiv receiv accept paper arriv come",true,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2671,83,2707,"check documents send document post check evalu check verifi control send letter reject","check documents document inform applic examin paper data pai aptitud test",false,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2671,83,2709,"check documents send document post check evalu check verifi control send letter reject","send letter of rejection letter reject accept reject reject refus send letter reject",true,false
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2672,83,2688,"evaluate valid confirm address examin paper count send document check receiv","sufficient cp in mathematics suffici take oral exam evalu sdfsdfsd sdfsdfsd sdfsdfsd cp mathemat exam",false,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2672,83,2704,"evaluate valid confirm address examin paper count send document check receiv","less than cp in mathematics math exam school rate point subject pai aptitud test",false,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2672,83,2708,"evaluate valid confirm address examin paper count send document check receiv","evaluate result mark valid examin check estim suffici take oral exam",false,true
UA_Union_GoldAll_Clean_3_Keywords_Default_Stemmed,82,2673,83,2705,"invite to an aptitude test invit test failur test class teacher pai work test","take oral exam revok reject bad reexamin pass cp result fsdgfstd sdgfjgsdf sdgfhjsgdf",false,true
