_unit_id;_created_at;_id;_started_at;_tainted;_channel;_trust;_worker_id;_country;_region;_city;_ip;which_keywords_would_you_use_to_describe_the_highlighted_activity;node_id;node_img;node_label;process_id
1296429072;7/31/2017 17:43:05;2729797400;7/31/2017 17:33:07;false;elite;1;43563855;RUS;56;Orël;109.61.162.226;send,papers,provide;2667;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png;Apply Online;82
1296429072;7/31/2017 17:47:16;2729802006;7/31/2017 17:32:56;false;neodev;1;40544601;VEN;13;Barquisimeto;186.91.231.90;use,utilize,employ;2667;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png;Apply Online;82
1296429072;7/31/2017 18:05:24;2729819668;7/31/2017 18:02:40;false;elite;1;43633262;VEN;04;Maracay;186.92.64.240;apply,internet,establish;2667;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png;Apply Online;82
1296429073;7/31/2017 18:36:28;2729851168;7/31/2017 18:31:42;false;clixsense;1;31222228;IND;02;Hyderabad;49.204.231.237;apply,online,send,protocol;2668;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png;Send Online Protocol;82
1296429073;7/31/2017 19:13:16;2729893245;7/31/2017 19:08:09;false;elite;1.0;43563855;RUS;56;Orël;109.61.162.226;forward,papers,via,internet;2668;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png;Send Online Protocol;82
1296429073;7/31/2017 19:33:52;2729941387;7/31/2017 19:33:18;false;neodev;1;40662071;IND;21;Bhubaneswar;47.11.192.216;gdfjvsdhj,sdgffsdh,sdgfhsd;2668;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png;Send Online Protocol;82
1296429074;7/31/2017 18:07:27;2729821629;7/31/2017 18:03:53;false;clixsense;1;12668599;IND;19;Bangalore;182.48.236.224;validate,confirm,address;2672;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2672.png;Evaluate;82
1296429074;7/31/2017 18:08:11;2729822270;7/31/2017 18:01:49;false;elite;1.0;43563855;RUS;56;Orël;109.61.162.226;examine,papers,count;2672;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2672.png;Evaluate;82
1296429074;7/31/2017 18:44:16;2729859380;7/31/2017 18:39:16;false;clixsense;1.0;31222228;IND;02;Hyderabad;49.204.231.237;send,documents,check,received;2672;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2672.png;Evaluate;82
1296429075;7/31/2017 17:35:33;2729790530;7/31/2017 17:32:29;false;clixsense;1;43495848;MEX;30;Xalapa;201.105.174.110;revoke,rejection,bad;2683;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2683.png;Acceptance;82
1296429075;7/31/2017 17:49:28;2729804474;7/31/2017 17:32:36;false;neodev;1;43716672;IND;36;Lucknow;47.8.15.192;result,acceptance,procedure;2683;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2683.png;Acceptance;82
1296429075;7/31/2017 18:24:37;2729838444;7/31/2017 18:17:07;false;neodev;1.0;40662071;IND;21;Bhubaneswar;47.11.192.216;dsfsdg,dffdhd,dfhdfhd;2683;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2683.png;Acceptance;82
1296429076;7/31/2017 17:37:32;2729792348;7/31/2017 17:32:46;false;clixsense;1;43608691;RUS;83;Kovrov;178.57.209.116;test,invitation,application;2679;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2679.png;Pay for Aptitude test;82
1296429076;7/31/2017 18:45:27;2729860825;7/31/2017 18:39:23;false;elite;1.0;43563855;RUS;56;Orël;109.61.162.226;price,money,procedure;2679;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2679.png;Pay for Aptitude test;82
1296429076;7/31/2017 19:36:26;2729947382;7/31/2017 19:35:50;false;clixsense;1.0;43495848;MEX;30;Xalapa;201.105.174.110;pay,aptitude,test;2679;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2679.png;Pay for Aptitude test;82
1296429077;7/31/2017 17:44:12;2729798532;7/31/2017 17:32:11;false;clixsense;1;42540507;VEN;25;Caracas;186.90.171.101;repulse,paper,document;2684;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2684.png;Send letter of rejection;82
1296429077;7/31/2017 19:05:13;2729881319;7/31/2017 19:04:43;false;neodev;1.0;40662071;IND;21;Bhubaneswar;47.11.192.216;dsfsdfsd,sdfsdfsd,sdfsdf;2684;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2684.png;Send letter of rejection;82
1296429077;7/31/2017 19:07:48;2729884376;7/31/2017 19:02:51;false;clixsense;1.0;31222228;IND;02;Hyderabad;49.204.231.237;rank,students,acceptance,rejection;2684;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2684.png;Send letter of rejection;82
1296429078;7/31/2017 18:16:12;2729829946;7/31/2017 18:14:12;false;clixsense;1.0;34756512;IND;10;Faridabad;43.239.152.70;confirm,establish,country;2676;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2676.png;Rank Students according to GPA and the test results;82
1296429078;7/31/2017 18:21:46;2729835711;7/31/2017 18:17:55;false;neodev;1.0;43716672;IND;36;Lucknow;47.8.15.192;process,rankings,results;2676;http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2676.png;Rank Students according to GPA and the test results;82
