_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,how_relevant_do_you_think_the_process_fragment_is_with_respect_to_the_query,please_explain_the_reasoning_behind_your_choices_optional,select_all_the_activities_from_the_process_fragment_which_you_think_are_relevant_to_the_query,how_relevant_do_you_think_the_process_fragment_is_with_respect_to_the_query_gold,please_explain_the_reasoning_behind_your_choices_optional_gold,query_node_id,query_node_img,query_node_label,query_process_id,result_group_id,result_group_img,result_group_labels,result_process_id,select_all_the_activities_from_the_process_fragment_which_you_think_are_relevant_to_the_query_gold
1367887784,9/5/2017 18:37:30,2808655393,9/5/2017 18:36:53,false,neodev,0.8808,43038487,ESP,51,Morón De La Frontera,85.55.179.69,4,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887784,9/5/2017 19:20:22,2808775155,9/5/2017 19:14:56,false,elite,0.7534,43563855,RUS,56,Orël,95.107.90.220,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887784,9/5/2017 20:54:41,2808984691,9/5/2017 20:45:41,false,clixsense,0.7734,41128700,TUR,34,Istanbul,78.180.165.158,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887785,9/5/2017 19:16:16,2808763630,9/5/2017 19:15:40,false,elite,0.7283,43687394,VEN,25,Caracas,201.211.41.222,4,,2708,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,
1367887785,9/5/2017 19:16:36,2808764883,9/5/2017 19:15:35,false,neodev,0.6917,41902228,EGY,"","",156.203.133.153,5,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,
1367887785,9/5/2017 19:49:56,2808844217,9/5/2017 19:45:50,false,clixsense,0.7734,41128700,TUR,34,Istanbul,78.180.165.158,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,
1367887786,9/5/2017 18:43:25,2808669091,9/5/2017 18:41:26,false,neodev,0.721,40956186,EGY,11,Cairo,41.199.12.198,3,,2691,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,
1367887786,9/5/2017 19:14:16,2808757748,9/5/2017 19:12:55,false,clixsense,0.7546,18490425,SRB,00,Belgrade,178.221.185.237,5,relevant,2691,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,
1367887786,9/5/2017 19:15:50,2808762346,9/5/2017 19:12:57,false,clixsense,0.6417,40938867,BRA,06,Fortaleza,177.207.69.202,5,,"2690
2691
2706
2707
NONE",,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2690
2691
2706
2707",https://i.imgur.com/cy9q2Cq.png,"send documents by post
apply online
documents received
check documents",83,
1367887787,9/5/2017 18:43:13,2808668569,9/5/2017 18:42:29,false,neodev,0.7287,43758043,BRA,21,Petropolis,179.199.61.67,4,,2709,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2694
2696
2697
2709",https://i.imgur.com/KGuw0WU.png,"send letter of acceptance
accepted
rejected
send letter of rejection",83,
1367887787,9/5/2017 18:45:13,2808673432,9/5/2017 18:42:31,false,neodev,0.8029,22346229,BGR,61,Varna,46.10.118.216,4,It is right.,"2694
2709",,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2694
2696
2697
2709",https://i.imgur.com/KGuw0WU.png,"send letter of acceptance
accepted
rejected
send letter of rejection",83,
1367887787,9/5/2017 19:15:12,2808760594,9/5/2017 19:13:58,false,clixsense,0.7582,33263403,BEL,11,Brussels,109.128.30.96,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2694
2696
2697
2709",https://i.imgur.com/KGuw0WU.png,"send letter of acceptance
accepted
rejected
send letter of rejection",83,
1367887788,9/5/2017 18:46:16,2808676112,9/5/2017 18:45:47,false,clixsense,0.7419,40948474,UKR,04,Dnepropetrovsk,194.44.25.53,3,,2695,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2695
2698
2699
2700",https://i.imgur.com/0F7w4YA.png,"send letter of provisional acceptance
accepted provisionally
wait for bachelor's certificate
certificate received",83,
1367887788,9/5/2017 18:46:28,2808676569,9/5/2017 18:45:48,false,clixsense,0.7428,36378875,IND,34,Patna,47.29.69.65,5,,"2695
2698
2699
2700",,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2695
2698
2699
2700",https://i.imgur.com/0F7w4YA.png,"send letter of provisional acceptance
accepted provisionally
wait for bachelor's certificate
certificate received",83,
1367887788,9/5/2017 18:52:53,2808694140,9/5/2017 18:45:54,false,neodev,0.7021,43310748,VEN,25,Caracas,186.167.250.132,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2695
2698
2699
2700",https://i.imgur.com/0F7w4YA.png,"send letter of provisional acceptance
accepted provisionally
wait for bachelor's certificate
certificate received",83,
1367887789,9/5/2017 18:39:03,2808658630,9/5/2017 18:38:46,false,neodev,0.8808,43038487,ESP,51,Morón De La Frontera,85.55.179.69,2,,2701,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2700
2701
2702
2703",https://i.imgur.com/0bOIDEl.png,"certificate received
send bachelor's certificate
certificate received
check certificate",83,
1367887789,9/5/2017 19:10:25,2808746224,9/5/2017 19:09:55,false,clixsense,0.7551,37224976,POL,"","",31.0.121.177,4,,2702,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2700
2701
2702
2703",https://i.imgur.com/0bOIDEl.png,"certificate received
send bachelor's certificate
certificate received
check certificate",83,
1367887789,9/5/2017 19:31:49,2808804466,9/5/2017 19:27:22,false,clixsense,0.7734,41128700,TUR,34,Istanbul,78.180.165.158,1,,NONE,,,2667,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2667.png,Apply Online,82,"2700
2701
2702
2703",https://i.imgur.com/0bOIDEl.png,"certificate received
send bachelor's certificate
certificate received
check certificate",83,
1367887790,9/5/2017 18:45:56,2808675357,9/5/2017 18:45:37,false,neodev,0.7944,38366779,RUS,10,Bryansk,95.29.61.212,5,,"2687
2693",,,2668,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png,Send Online Protocol,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887790,9/5/2017 18:46:52,2808677772,9/5/2017 18:46:00,false,neodev,0.8374,43790281,EGY,06,Alexandria,197.165.141.201,3,,"2687
2689
2692
2693",,,2668,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png,Send Online Protocol,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887790,9/5/2017 19:16:03,2808763017,9/5/2017 19:15:31,false,neodev,0.8088,11014811,GBR,G6,Hull,5.198.34.32,3,,2687,,,2668,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png,Send Online Protocol,82,"2687
2689
2692
2693",https://i.imgur.com/mMx14CQ.png,"average grade is good or better
average grade is less than good
provisional acceptance confirmed
provisional acceptance cancelled",83,
1367887791,9/5/2017 18:46:56,2808677886,9/5/2017 18:46:36,false,neodev,0.7944,38366779,RUS,10,Bryansk,95.29.61.212,5,,"2688
2708",,,2668,http://galvanic-axle-852.appspot.com/static/taskdesign01/82/2668.png,Send Online Protocol,82,"2688
2704
2705
2708",https://i.imgur.com/HLcVtRu.png,"sufficient cp in mathematics
less than 16 cp in mathematics
take oral exam
evaluate",83,
