_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,are_the_two_activities_highlighted_in_red_similar,how_similar_do_you_think_are_the_two_highlighted_activities,if_you_think_the_two_activities_are_similar_how_would_you_describe_their_relationship,please_comment_in_which_sense_these_two_activities_are_similar,orig__created_at,orig__unit_id,_updated_at,are_the_two_activities_highlighted_in_red_similar_gold,are_the_two_activities_highlighted_in_red_similar_gold_reason,false,false_reason,how_similar_do_you_think_are_the_two_highlighted_activities_gold,img_a,img_b,nodeid_a,nodeid_b,nodelabel_a,nodelabel_b,processid_a,processid_b
908136737,3/16/2016 05:12:24,false,1924054527,,3/16/2016 05:08:39,false,indivillagetest,1.0,34549184,IND,02,"",202.53.75.92,no,2,match,different,3/7/2016 20:25:03,901143241,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2884.png,2707,2884,check documents,documents received,83,89
908136737,3/16/2016 05:17:10,false,1924056518,,3/16/2016 05:09:51,false,indivillagetest,0.9231,34418157,IND,02,"",202.53.75.92,no,2,match,Different,3/7/2016 20:25:03,901143241,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2884.png,2707,2884,check documents,documents received,83,89
908136737,3/16/2016 05:18:51,false,1924057465,,3/16/2016 05:13:01,false,indivillagetest,0.9231,35077410,IND,02,"",202.53.75.92,yes,6,match,Same,3/7/2016 20:25:03,901143241,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2884.png,2707,2884,check documents,documents received,83,89
908136738,3/16/2016 06:53:39,false,1924106521,,3/16/2016 06:37:56,false,indivillagetest,0.8462,35597807,IND,02,"",202.53.75.92,no,2,_partof,Different,3/7/2016 20:25:03,901143242,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2883.png,2707,2883,check documents,rejected,83,89
908136738,3/16/2016 07:03:27,false,1924111660,,3/16/2016 06:43:17,false,indivillagetest,1.0,35077385,IND,02,"",202.53.75.92,no,2,_partof,Different,3/7/2016 20:25:03,901143242,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2883.png,2707,2883,check documents,rejected,83,89
908136738,3/16/2016 07:05:59,false,1924113017,,3/16/2016 06:42:17,false,indivillagetest,0.9231,35598750,IND,02,"",202.53.75.92,no,2,_partof,different,3/7/2016 20:25:03,901143242,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2883.png,2707,2883,check documents,rejected,83,89
908136739,3/16/2016 09:02:49,false,1924174278,,3/16/2016 09:00:28,false,neodev,1.0,36360111,SRB,00,Sombor,188.2.160.180,no,2,_partof,Not similar,3/7/2016 20:25:03,901143243,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2889.png,2707,2889,check documents,send letter of rejection,83,89
908136739,3/16/2016 09:18:50,false,1924182472,,3/16/2016 09:04:02,false,indivillagetest,0.9231,34550698,IND,02,"",202.53.75.92,no,2,_partof,different,3/7/2016 20:25:03,901143243,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2889.png,2707,2889,check documents,send letter of rejection,83,89
908136739,3/16/2016 09:22:14,false,1924184245,,3/16/2016 09:08:45,false,indivillagetest,1.0,33573033,IND,02,"",202.53.75.92,no,2,_partof,different,3/7/2016 20:25:03,901143243,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2889.png,2707,2889,check documents,send letter of rejection,83,89
908136740,3/16/2016 05:02:20,false,1924049507,,3/16/2016 05:00:19,false,indivillagetest,0.9231,34393447,IND,02,"",202.53.75.92,no,2,_partof,different,3/7/2016 20:25:03,901143244,3/7/2016 20:25:03,,,,,,http://galvanic-axle-852.appspot.com/static/taskdesign01/83/2707.png,http://galvanic-axle-852.appspot.com/static/taskdesign01/89/2888.png,2707,2888,check documents,send letter of acceptance,83,89
